,FOLIO,ING_1,ING_2,ING_3,ING_4,ING_5,ING_6,ING_TRI
0,20040110010,5000.0,3000.0,3000.0,3000.0,3000.0,3000.0,10000.0
1,20040110011,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,4800.0
2,20040110020,11256.0,8256.0,9956.0,18300.0,7600.0,7600.0,31484.0
3,20040110030,1970.0,2750.0,2750.0,1250.0,2250.0,2250.0,6610.0
4,20040110040,7700.0,7700.0,7700.0,7700.0,7700.0,7700.0,23100.0
5,20040110050,1850.0,2350.0,2150.0,1850.0,1850.0,1850.0,5950.0
6,20040110060,5210.0,4200.0,5708.0,5730.0,6198.0,5600.0,16323.0
7,20040110080,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,21000.0
8,20040110090,22566.0,22406.0,26306.0,25146.0,24706.0,22206.0,71668.0
9,20040110100,4900.0,4900.0,4900.0,4200.0,4900.0,4900.0,14350.0
10,20040110110,4140.0,3400.0,3400.0,3400.0,3400.0,3400.0,10570.0
11,20040110120,78430.0,80930.0,78430.0,80930.0,78430.0,80930.0,239040.0
12,20040110140,14800.0,13200.0,13200.0,13200.0,13200.0,13200.0,40400.0
13,20040110150,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,10965.0
14,20040110160,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,10200.0
15,20040110170,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,3600.0
16,20040110180,12500.0,12500.0,16000.0,12500.0,12500.0,12500.0,39250.0
17,20040110190,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,9600.0
18,20040110200,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,3300.0
19,20040110210,5669.0,6000.0,4300.0,3700.0,3000.0,6200.0,14434.5
20,20040110220,13759.0,12259.0,12959.0,11959.0,12259.0,11859.0,37527.0
21,20040110230,20000.0,20000.0,55000.0,22000.0,20000.0,20000.0,78500.0
22,20040110240,8680.0,8680.0,15680.0,28680.0,8680.0,8280.0,39340.0
23,20040110250,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,19800.0
24,20040110260,6000.0,6000.0,8000.0,6000.0,6000.0,6000.0,19000.0
